0 0 10.4089 3.3364 4.2004 16.5998 8658
1 1 8.3028 1.1897 6.1000 10.4999 171846
2 3 10.3483 3.2977 4.2074 16.5955 1752
3 4 8.2412 1.1641 6.1037 10.4926 716
4 5 6.3915 0.9244 4.7008 8.0999 9739
5 8 8.2936 1.1975 6.1004 10.4982 5205
6 9 8.2992 1.1956 6.1008 10.4995 12643
7 10 8.2674 1.4677 5.6009 10.9999 9343
8 11 36.5532 0.7149 35.2022 37.7832 314
9 12 8.5537 1.0292 6.4633 10.3609 29
10 13 10.4808 3.2840 4.2465 16.5811 258
11 114 1.7398 0.0972 1.5600 1.9200 25679
12 115 1.7402 0.0972 1.5600 1.9200 102876
13 116 1.7405 0.0970 1.5600 1.9200 91305
14 117 1.7399 0.0974 1.5600 1.9200 101901
15 118 1.7401 0.0973 1.5600 1.9200 70215
16 119 1.7381 0.0964 1.5601 1.9194 2515
17 120 1.7396 0.0970 1.5601 1.9199 4589
18 121 1.7348 0.1009 1.5611 1.9133 192
19 122 1.7472 0.0935 1.5603 1.9188 196
20 123 1.7409 0.0980 1.5600 1.9200 13549
21 126 1.7402 0.0950 1.5604 1.9198 2133
22 127 1.7407 0.0965 1.5604 1.9199 1455
23 128 1.7397 0.0975 1.5601 1.9194 1003
24 129 1.7433 0.0961 1.5601 1.9199 1771
25 131 1.7398 0.0971 1.5600 1.9200 15468
26 132 1.7401 0.0975 1.5600 1.9200 14671
27 133 1.7401 0.0972 1.5600 1.9200 112943
28 134 1.7404 0.0972 1.5600 1.9200 65064
