4 5 14.7 5.3 9 L1_DLAC:L1_SLAC
4 7 13.5 2.5 2 L1_DLAC:L23_MC
4 8 10.0 0.0 3 L1_DLAC:L23_BTC
4 9 9.7 1.7 3 L1_DLAC:L23_DBC
4 12 11.5 2.5 2 L1_DLAC:L23_LBC
4 13 12.0 2.1 4 L1_DLAC:L23_NBC
4 15 12.5 0.5 2 L1_DLAC:L23_ChC
4 17 5.3 0.5 3 L1_DLAC:L4_SP
4 28 14.3 1.2 3 L1_DLAC:L5_TTPC1
4 29 10.0 0.0 1 L1_DLAC:L5_TTPC2
4 31 9.0 1.6 3 L1_DLAC:L5_STPC
4 34 3.0 0.0 1 L1_DLAC:L5_DBC
5 0 13.4 2.9 5 L1_SLAC:L1_DAC
5 1 13.7 3.4 3 L1_SLAC:L1_NGC-DA
5 4 9.5 1.5 2 L1_SLAC:L1_DLAC
5 5 11.0 1.2 4 L1_SLAC:L1_SLAC
5 7 10.8 3.7 4 L1_SLAC:L23_MC
5 8 7.5 0.5 2 L1_SLAC:L23_BTC
5 12 9.0 0.0 1 L1_SLAC:L23_LBC
5 13 19.3 9.9 3 L1_SLAC:L23_NBC
5 15 12.0 2.8 3 L1_SLAC:L23_ChC
5 29 13.0 0.0 1 L1_SLAC:L5_TTPC2
5 31 6.0 0.0 1 L1_SLAC:L5_STPC
6 0 4.8 2.0 127 L23_PC:L1_DAC
6 1 5.2 2.4 130 L23_PC:L1_NGC-DA
6 2 4.3 1.4 13 L23_PC:L1_NGC-SA
6 3 4.0 1.9 98 L23_PC:L1_HAC
6 4 4.2 1.3 32 L23_PC:L1_DLAC
6 5 5.3 2.5 165 L23_PC:L1_SLAC
6 6 3.0 1.4 841 L23_PC:L23_PC
6 7 7.9 2.7 986 L23_PC:L23_MC
6 8 7.8 3.0 890 L23_PC:L23_BTC
6 9 3.9 1.4 363 L23_PC:L23_DBC
6 10 3.5 1.0 161 L23_PC:L23_BP
6 11 5.4 1.9 351 L23_PC:L23_NGC
6 12 8.1 3.1 881 L23_PC:L23_LBC
6 13 3.9 1.7 2398 L23_PC:L23_NBC
6 14 3.2 1.5 956 L23_PC:L23_SBC
6 15 8.2 3.1 376 L23_PC:L23_ChC
6 16 2.8 1.3 856 L23_PC:L4_PC
6 17 2.7 1.2 486 L23_PC:L4_SP
6 18 2.6 1.0 601 L23_PC:L4_SS
6 19 7.4 2.5 1013 L23_PC:L4_MC
6 20 6.5 2.5 949 L23_PC:L4_BTC
6 21 5.1 1.7 637 L23_PC:L4_DBC
6 23 4.8 1.4 398 L23_PC:L4_NGC
6 24 7.0 2.7 960 L23_PC:L4_LBC
6 25 6.6 2.4 735 L23_PC:L4_NBC
6 26 7.5 2.8 384 L23_PC:L4_SBC
6 27 6.2 2.5 653 L23_PC:L4_ChC
6 28 4.0 1.8 1272 L23_PC:L5_TTPC1
6 29 3.9 1.6 847 L23_PC:L5_TTPC2
6 30 2.7 1.0 560 L23_PC:L5_UTPC
6 31 3.1 1.4 967 L23_PC:L5_STPC
6 32 6.3 2.4 765 L23_PC:L5_MC
6 33 6.4 2.6 571 L23_PC:L5_BTC
6 34 4.4 1.4 458 L23_PC:L5_DBC
6 35 2.0 0.7 461 L23_PC:L5_BP
6 36 4.0 1.0 165 L23_PC:L5_NGC
6 37 6.3 2.6 839 L23_PC:L5_LBC
6 38 5.7 1.9 998 L23_PC:L5_NBC
6 39 6.1 2.2 316 L23_PC:L5_SBC
6 40 5.9 2.2 314 L23_PC:L5_ChC
6 41 2.4 0.9 475 L23_PC:L6_TPC_L1
6 42 2.4 0.9 462 L23_PC:L6_TPC_L4
6 43 2.4 0.9 382 L23_PC:L6_UTPC
6 44 2.4 1.0 70 L23_PC:L6_IPC
6 45 2.4 1.0 167 L23_PC:L6_BPC
6 46 4.9 2.4 238 L23_PC:L6_MC
6 47 5.0 2.6 88 L23_PC:L6_BTC
6 48 2.9 1.1 100 L23_PC:L6_DBC
6 51 4.9 2.2 164 L23_PC:L6_LBC
6 52 4.4 1.7 161 L23_PC:L6_NBC
6 53 5.7 2.7 44 L23_PC:L6_SBC
6 54 3.3 1.4 82 L23_PC:L6_ChC
7 0 10.1 3.8 68 L23_MC:L1_DAC
7 1 10.1 3.3 101 L23_MC:L1_NGC-DA
7 2 8.9 1.8 12 L23_MC:L1_NGC-SA
7 3 9.7 3.0 56 L23_MC:L1_HAC
7 4 10.4 2.4 22 L23_MC:L1_DLAC
7 5 9.5 3.9 113 L23_MC:L1_SLAC
7 6 12.0 3.6 67 L23_MC:L23_PC
7 7 13.4 5.2 111 L23_MC:L23_MC
7 8 11.7 4.1 177 L23_MC:L23_BTC
7 9 5.5 1.7 54 L23_MC:L23_DBC
7 10 4.3 1.5 38 L23_MC:L23_BP
7 11 7.5 1.6 82 L23_MC:L23_NGC
7 12 13.3 5.0 143 L23_MC:L23_LBC
7 13 12.0 4.2 159 L23_MC:L23_NBC
7 14 11.9 4.6 67 L23_MC:L23_SBC
7 15 11.4 3.2 67 L23_MC:L23_ChC
7 16 9.1 4.1 34 L23_MC:L4_PC
7 17 8.5 2.6 10 L23_MC:L4_SP
7 18 6.3 1.7 11 L23_MC:L4_SS
7 19 9.0 2.5 35 L23_MC:L4_MC
7 20 9.0 2.3 38 L23_MC:L4_BTC
7 21 5.1 1.1 36 L23_MC:L4_DBC
7 23 4.5 1.0 17 L23_MC:L4_NGC
7 24 9.4 4.0 45 L23_MC:L4_LBC
7 25 9.1 2.5 32 L23_MC:L4_NBC
7 26 9.7 3.5 25 L23_MC:L4_SBC
7 27 7.8 2.7 24 L23_MC:L4_ChC
7 28 14.0 5.1 71 L23_MC:L5_TTPC1
