Elapsed Time = 0:01.69, CPU Usage = 223%, CPU Time= 1.21, Job = 74
Elapsed Time = 0:01.69, CPU Usage = 221%, CPU Time= 1.26, Job = 75
Elapsed Time = 0:01.79, CPU Usage = 213%, CPU Time= 1.21, Job = 76
Elapsed Time = 0:01.87, CPU Usage = 203%, CPU Time= 1.05, Job = 77
Elapsed Time = 0:01.83, CPU Usage = 210%, CPU Time= 1.14, Job = 78
Elapsed Time = 0:01.76, CPU Usage = 215%, CPU Time= 1.13, Job = 79
Elapsed Time = 0:01.72, CPU Usage = 220%, CPU Time= 1.27, Job = 80
Elapsed Time = 0:01.67, CPU Usage = 216%, CPU Time= 1.21, Job = 81
Elapsed Time = 0:01.54, CPU Usage = 235%, CPU Time= 1.14, Job = 82
Elapsed Time = 0:01.67, CPU Usage = 225%, CPU Time= 1.22, Job = 83
Elapsed Time = 0:01.68, CPU Usage = 222%, CPU Time= 1.25, Job = 84
Elapsed Time = 0:01.67, CPU Usage = 224%, CPU Time= 1.24, Job = 85
Elapsed Time = 0:01.73, CPU Usage = 219%, CPU Time= 1.22, Job = 86
Elapsed Time = 0:01.70, CPU Usage = 222%, CPU Time= 1.22, Job = 87
Elapsed Time = 0:01.72, CPU Usage = 220%, CPU Time= 1.18, Job = 88
Elapsed Time = 0:01.77, CPU Usage = 218%, CPU Time= 1.17, Job = 89
Elapsed Time = 0:01.74, CPU Usage = 220%, CPU Time= 1.22, Job = 90
Elapsed Time = 0:01.72, CPU Usage = 221%, CPU Time= 1.19, Job = 91
Elapsed Time = 0:01.71, CPU Usage = 220%, CPU Time= 1.25, Job = 92
Elapsed Time = 0:01.74, CPU Usage = 219%, CPU Time= 1.30, Job = 93
Elapsed Time = 0:01.72, CPU Usage = 221%, CPU Time= 1.13, Job = 94
Elapsed Time = 0:01.71, CPU Usage = 222%, CPU Time= 1.24, Job = 95
Elapsed Time = 0:01.71, CPU Usage = 222%, CPU Time= 1.25, Job = 96
Elapsed Time = 0:01.73, CPU Usage = 219%, CPU Time= 1.31, Job = 97
Elapsed Time = 0:01.72, CPU Usage = 221%, CPU Time= 1.20, Job = 98
