0 0 0.8298 0.2960 0.2790 1.3790 8658
1 1 0.8297 0.2974 0.2790 1.3790 171846
2 3 0.9059 0.3229 0.3047 1.5176 1752
3 4 0.8948 0.3212 0.3050 1.5160 716
4 5 0.9080 0.3301 0.3043 1.5180 9739
5 8 0.7451 0.1725 0.4291 1.0627 5205
6 9 0.7459 0.1723 0.4291 1.0629 12643
7 10 0.9037 0.3300 0.3042 1.5180 9343
8 11 0.8515 0.3025 0.2799 1.3719 314
9 12 2.9693 0.9544 1.0308 4.6450 29
10 13 0.7501 0.1679 0.4314 1.0620 258
11 114 0.4196 0.1512 0.1400 0.7000 25679
12 115 0.7254 0.2592 0.2450 1.2050 102876
13 116 0.7934 0.2845 0.2640 1.3199 91305
14 117 0.4198 0.1515 0.1400 0.7000 101901
15 118 0.7252 0.2594 0.2450 1.2049 70215
16 119 0.6793 0.2464 0.2243 1.1426 2515
17 120 0.6761 0.2425 0.2272 1.1269 4589
18 121 0.1834 0.0695 0.0638 0.3064 192
19 122 0.8633 0.2908 0.2820 1.3972 196
20 123 1.5755 0.5716 0.5201 2.6198 13549
21 126 0.7927 0.2786 0.2652 1.3195 2133
22 127 0.7940 0.2831 0.2652 1.3198 1455
23 128 0.7912 0.2861 0.2644 1.3182 1003
24 129 0.8015 0.2820 0.2642 1.3196 1771
25 131 0.7244 0.2589 0.2451 1.2050 15468
26 132 0.7253 0.2600 0.2450 1.2049 14671
27 133 0.1151 0.0432 0.0350 0.1950 112943
28 134 0.7261 0.2593 0.2450 1.2050 65064
