14 6 5 4 2 25 267 4541
14 6 4 5 2 10 265 38053
14 6 3 5 2 59 268 32182
14 6 5 3 1 2 268 35615
14 6 4 5 1 7 268 38053
14 6 3 4 1 50 269 68162
14 6 4 3 1 19 269 100661
12 6 5 10 1 12 268 33649
12 6 5 10 2 20 266 1561
12 6 10 5 2 16 266 1925
12 6 5 10 2 8 267 932
12 6 10 5 2 13 267 3196
12 6 10 5 1 30 269 6056
12 6 5 10 1 31 269 99282
24 6 5 10 1 1 265 41963
24 6 10 5 1 9 266 8581
24 6 5 10 1 35 269 9936
24 6 5 10 1 69 269 104016
24 6 10 5 1 42 269 73913
13 6 5 10 1 61 269 7068
13 6 10 5 1 7 269 7365
13 6 5 10 1 13 269 98687
26 6 5 4 1 33 269 8241
26 6 3 5 1 15 269 74411
38 6 10 5 1 15 269 75266
38 6 5 10 1 28 269 111250
25 6 10 5 1 65 269 11401
12 16 5 10 2 8 485 3962
12 16 10 5 2 43 485 5599
13 16 5 10 2 8 485 7068
13 16 10 5 2 46 485 7746
25 16 10 5 1 31 485 8465
38 16 5 10 1 131 485 14260
37 16 10 5 1 92 485 14605
38 16 10 5 1 118 485 15731
38 16 5 10 2 62 485 16128
51 16 5 10 1 61 485 60544
14 16 5 3 2 22 485 94585
14 16 3 5 2 26 485 95229
13 16 5 10 2 34 485 98687
13 16 10 5 2 15 485 100555
14 16 5 3 2 46 485 101614
37 16 5 10 1 74 485 107636
37 16 10 5 1 36 485 108155
38 16 10 5 2 66 485 112509
12 16 5 10 2 16 486 1760
14 16 3 5 1 4 486 3925
14 16 5 3 2 1 486 4435
24 16 5 10 1 15 486 10590
38 16 5 10 1 16 486 18474
14 16 4 5 2 37 487 786
14 16 5 4 2 18 487 862
12 16 10 5 2 14 487 4069
14 16 3 5 2 16 487 5236
12 16 5 10 2 2 487 5542
12 16 10 5 1 21 487 5956
26 16 5 3 1 40 487 9845
26 16 3 5 1 35 487 10168
24 16 10 5 1 3 487 11973
25 16 5 10 0 0 487 11985
25 16 10 5 1 12 487 12518
38 16 10 5 1 16 487 15688
24 16 5 10 1 46 487 103892
13 16 5 10 1 36 488 5727
14 16 5 3 1 46 488 6166
14 16 4 5 1 15 488 7356
14 16 3 4 1 17 488 7848
26 16 5 3 1 33 488 7990
24 16 10 5 2 5 488 8138
25 16 5 10 2 4 488 8931
24 16 5 10 1 17 488 9244
26 16 3 5 1 22 488 9744
26 16 4 3 0 0 488 9882
26 16 3 4 1 39 488 10502
12 16 5 10 2 12 488 97536
13 16 10 5 2 1 489 4176
24 16 10 5 1 19 489 9114
24 16 5 10 1 4 489 9781
14 17 4 5 2 24 505 4369
26 17 5 3 2 21 505 11553
14 17 3 4 2 7 505 99650
14 17 5 3 1 28 505 101843
25 17 5 10 1 28 505 103277
26 17 3 5 2 21 505 105738
14 17 3 5 2 3 506 3925
