24.40 26.29
20.90 22.29
39.10 41.43
3208.30 3300.57
44.70 48.14
1.70 1.29
11.70 9.29
137.70 140.71
95.40 96.43
23.90 24.57
847.00 882.71
143.00 133.29
32.90 34.00
6.00 6.43
5.70 5.86
2.00 1.71
1598.60 1649.00
1451.40 1482.14
120.30 123.71
3.00 2.86
33.10 34.14
25.10 28.43
64.10 61.57
19.60 19.00
48.00 51.86
25.90 25.29
61.90 68.00
3661.90 3837.14
231.60 260.86
46.60 46.14
29.00 27.86
11.00 11.86
126.30 140.43
89.90 102.14
46.00 50.57
29.70 30.14
784.60 831.00
119.30 122.71
2018.90 2170.71
1844.30 1919.14
7.60 8.29
15.10 16.86
24.70 26.29
7.00 5.57
1361.10 1411.43
81.10 98.43
15.70 17.43
3.40 3.29
39.90 41.57
30.60 33.86
17.60 17.00
237.30 247.14
34.60 33.14
771.30 822.14
710.40 736.57
2.30 2.43
50.60 50.43
79.30 83.57
70.10 79.43
46.70 53.86
108.40 105.57
41.30 43.14
5884.10 6262.86
331.30 354.71
67.90 69.71
48.30 51.00
163.30 173.57
59.40 65.14
45.90 49.57
991.60 1044.43
148.70 153.71
3.30 4.00
3378.90 3590.29
3049.40 3193.57
220.30 237.00
3.40 3.29
14.10 14.57
9.10 9.29
20.10 20.71
7.70 8.00
1382.40 1399.86
14.70 13.29
48.90 47.14
21.40 21.71
288.60 288.00
45.60 44.14
657.90 683.14
2.60 2.86
53.30 52.71
11.40 11.29
8.70 7.86
1076.90 1067.71
70.30 70.86
13.70 13.29
36.70 37.00
26.30 24.86
7.40 7.57
205.90 204.57
30.00 32.71
605.00 596.00
547.10 541.00
41.00 47.29
8.70 9.14
222.40 239.14
163.40 170.43
386.40 403.57
369455.60 374194.00
8834.30 9197.14
2624.70 2667.57
11535.70 11845.29
13492.60 13846.43
7714.10 8038.29
1281.10 1345.00
268468.60 274441.86
88977.30 88478.57
36323.70 36916.43
4049.30 4087.14
487.60 476.14
101.40 103.00
3720.70 3764.14
2978.90 2993.14
1503.90 1514.14
264.00 251.29
276644.30 276228.43
251113.90 254822.43
32889.30 33025.43
35253.90 35698.71
7189.00 7166.86
4001.40 3931.71
3467.40 3444.14
324.10 336.71
52891.70 53823.29
49406.00 49951.14
67608.60 69076.57
17930.90 17816.14
76379.10 77463.71
1076.70 1016.86
63.90 60.43
1716.30 1670.57
610.70 583.29
199.10 197.00
264.70 278.57
187.60 196.29
133.70 144.00
298.30 300.71
103.10 112.00
118.90 127.57
32758.70 34230.00
2326.10 2471.29
478.60 513.57
379.40 381.14
23.30 25.71
163.30 168.86
1883.60 2026.57
1276.30 1333.29
629.30 663.57
277.90 299.14
10410.90 10442.14
2241.40 2315.71
720.00 722.14
153.00 145.43
18.60 17.43
33.40 34.43
3.60 4.00
143.60 131.86
108.70 114.00
66.60 72.71
15652.60 16258.57
14406.00 14626.29
551.90 575.71
1436.00 1488.14
163.90 156.43
52.40 54.29
51.40 55.43
102.10 98.14
87.70 85.86
8.10 6.57
718.00 735.43
567.40 573.86
1170.90 1250.57
60.10 60.00
711.00 733.57
26.60 28.57
17.30 19.71
11.60 12.86
22.40 27.14
9.60 9.86
5333.70 5533.14
393.10 429.29
36.70 37.00
460.30 503.71
298.00 306.57
57.60 63.57
3644.60 3741.43
1109.30 1119.43
439.60 437.57
109.40 108.71
3.10 4.00
97.90 101.86
75.60 84.43
3686.40 3817.29
3354.10 3367.57
361.10 389.29
449.30 443.86
144.70 147.86
85.30 90.57
8.00 7.57
641.10 680.43
582.30 608.57
825.10 841.14
4.10 4.29
22.90 22.71
10.60 11.86
7.10 7.43
16.90 18.29
6.60 5.86
6465.60 6619.29
386.60 402.14
105.30 109.29
444.90 473.14
290.10 299.57
135.90 148.29
50.70 50.57
4538.90 4633.29
1458.60 1489.14
676.10 691.14
150.90 160.71
20.70 21.00
108.10 110.43
59.00 60.29
11.00 10.86
4449.30 4654.71
3964.70 4012.71
492.00 531.29
551.70 565.86
255.70 256.29
61.30 65.00
138.10 136.00
116.70 123.29
11.00 11.86
842.70 864.14
763.40 782.00
1067.40 1119.29
198.60 205.57
1236.60 1294.14
18.30 15.00
40.90 43.71
5.70 6.14
97.30 104.29
4.10 3.57
1.10 1.14
156.10 151.71
50.90 50.29
134.70 142.57
105.70 112.43
17.10 16.86
20.40 22.14
7.90 8.14
5.70 5.43
21.40 22.29
19.40 21.00
21.40 22.43
3.10 3.71
32.90 30.57
7.00 5.57
2309.90 2321.29
153.40 161.71
33.70 31.86
157.30 155.57
107.00 106.00
47.00 46.71
18.00 18.86
836.00 859.71
171.90 179.00
54.30 54.14
7.00 7.71
6.30 6.43
929.00 947.57
862.30 869.86
42.10 45.43
97.70 99.29
2.60 2.71
3.30 3.57
55.90 57.57
101.70 95.71
100.00 98.14
63.10 66.29
42.10 39.14
93.90 95.57
32.40 36.86
