67.90 69.7 60.0 77.0 1.8 2.7 2 L1_HAC:L23_BTC gauss
45.90 49.6 41.0 58.0 3.7 8.0 2 L1_HAC:L23_ChC gauss
48.30 51.0 37.0 63.0 2.7 5.6 2 L1_HAC:L23_DBC gauss
163.30 173.6 150.0 202.0 10.3 6.3 2 L1_HAC:L23_LBC gauss
331.30 354.7 328.0 373.0 23.4 7.1 2 L1_HAC:L23_MC gauss
101.10 101.7 85.0 117.0 0.6 0.6 1 L1_HAC:L23_NBC exp
12.70 10.9 8.0 15.0 -1.8 -14.5 1 L1_HAC:L23_NGC exp
5884.10 6262.9 6106.0 6609.0 378.8 6.4 2 L1_HAC:L23_PC gauss
59.40 65.1 53.0 83.0 5.7 9.7 2 L1_HAC:L23_SBC gauss
3.30 4.0 1.0 7.0 0.7 21.2 1 L1_HAC:L4_DBC exp
991.60 1044.4 1022.0 1064.0 52.8 5.3 2 L1_HAC:L4_PC gauss
148.70 153.7 146.0 169.0 5.0 3.4 2 L1_HAC:L4_SP gauss
3.40 3.3 2.0 5.0 -0.1 -3.4 1 L1_HAC:L5_DBC exp
220.30 237.0 194.0 259.0 16.7 7.6 2 L1_HAC:L5_STPC gauss
3378.90 3590.3 3441.0 3757.0 211.4 6.3 2 L1_HAC:L5_TTPC1 gauss
3049.40 3193.6 3006.0 3316.0 144.2 4.7 2 L1_HAC:L5_TTPC2 gauss
6.90 9.1 3.0 15.0 2.2 32.5 1 L1_HAC:L5_UTPC exp
42.60 44.9 29.0 60.0 2.3 5.3 1 L1_HAC:L6_UTPC exp
48.00 51.9 48.0 57.0 3.9 8.0 2 L1_NGC-DA:L1_DAC gauss
17.00 19.1 15.0 26.0 2.1 12.6 2 L1_NGC-DA:L1_DLAC gauss
61.90 68.0 58.0 78.0 6.1 9.9 2 L1_NGC-DA:L1_HAC gauss
37.90 34.3 27.0 39.0 -3.6 -9.5 1 L1_NGC-DA:L1_NGC-DA exp
25.90 25.3 20.0 31.0 -0.6 -2.4 2 L1_NGC-DA:L1_NGC-SA gauss
21.70 26.4 17.0 36.0 4.7 21.8 2 L1_NGC-DA:L1_SLAC gauss
46.60 46.1 41.0 55.0 -0.5 -1.0 2 L1_NGC-DA:L23_BTC gauss
29.70 30.1 24.0 37.0 0.4 1.5 2 L1_NGC-DA:L23_ChC gauss
29.00 27.9 22.0 36.0 -1.1 -3.9 2 L1_NGC-DA:L23_DBC gauss
126.30 140.4 124.0 154.0 14.1 11.2 2 L1_NGC-DA:L23_LBC gauss
231.60 260.9 238.0 284.0 29.3 12.6 2 L1_NGC-DA:L23_MC gauss
89.90 102.1 84.0 118.0 12.2 13.6 2 L1_NGC-DA:L23_NBC gauss
11.00 11.9 6.0 16.0 0.9 7.8 2 L1_NGC-DA:L23_NGC gauss
3661.90 3837.1 3788.0 3913.0 175.2 4.8 2 L1_NGC-DA:L23_PC gauss
46.00 50.6 40.0 57.0 4.6 9.9 2 L1_NGC-DA:L23_SBC gauss
784.60 831.0 790.0 861.0 46.4 5.9 2 L1_NGC-DA:L4_PC gauss
119.30 122.7 115.0 135.0 3.4 2.9 2 L1_NGC-DA:L4_SP gauss
2.00 1.9 0.0 5.0 -0.1 -7.1 1 L1_NGC-DA:L5_DBC exp
144.30 143.6 110.0 160.0 -0.7 -0.5 1 L1_NGC-DA:L5_STPC exp
2018.90 2170.7 2083.0 2217.0 151.8 7.5 2 L1_NGC-DA:L5_TTPC1 gauss
1844.30 1919.1 1805.0 2015.0 74.8 4.1 2 L1_NGC-DA:L5_TTPC2 gauss
7.60 8.3 3.0 14.0 0.7 9.0 2 L1_NGC-DA:L5_UTPC gauss
33.60 32.7 22.0 46.0 -0.9 -2.6 1 L1_NGC-DA:L6_UTPC exp
19.10 22.0 17.0 29.0 2.9 15.2 2 L1_NGC-SA:L1_DAC gauss
6.70 6.1 5.0 8.0 -0.6 -8.3 1 L1_NGC-SA:L1_DLAC exp
24.70 26.3 20.0 42.0 1.6 6.4 2 L1_NGC-SA:L1_HAC gauss
15.10 16.9 11.0 25.0 1.8 11.6 2 L1_NGC-SA:L1_NGC-DA gauss
11.00 9.7 5.0 13.0 -1.3 -11.7 1 L1_NGC-SA:L1_NGC-SA exp
7.00 5.6 3.0 9.0 -1.4 -20.4 1 L1_NGC-SA:L1_SLAC exp
15.70 17.4 11.0 29.0 1.7 11.0 1 L1_NGC-SA:L23_BTC exp
9.00 9.3 8.0 11.0 0.3 3.2 1 L1_NGC-SA:L23_ChC exp
13.00 10.7 9.0 13.0 -2.3 -17.6 1 L1_NGC-SA:L23_DBC exp
39.90 41.6 36.0 50.0 1.7 4.2 2 L1_NGC-SA:L23_LBC gauss
81.10 98.4 86.0 105.0 17.3 21.4 2 L1_NGC-SA:L23_MC gauss
30.60 33.9 26.0 39.0 3.3 10.6 2 L1_NGC-SA:L23_NBC gauss
3.40 3.3 1.0 7.0 -0.1 -3.4 1 L1_NGC-SA:L23_NGC exp
1361.10 1411.4 1362.0 1455.0 50.3 3.7 2 L1_NGC-SA:L23_PC gauss
17.60 17.0 12.0 22.0 -0.6 -3.4 2 L1_NGC-SA:L23_SBC gauss
237.30 247.1 229.0 283.0 9.8 4.1 2 L1_NGC-SA:L4_PC gauss
34.60 33.1 25.0 45.0 -1.5 -4.2 2 L1_NGC-SA:L4_SP gauss
50.60 50.4 43.0 55.0 -0.2 -0.3 2 L1_NGC-SA:L5_STPC gauss
771.30 822.1 793.0 839.0 50.8 6.6 2 L1_NGC-SA:L5_TTPC1 gauss
710.40 736.6 688.0 761.0 26.2 3.7 2 L1_NGC-SA:L5_TTPC2 gauss
2.30 2.4 0.0 5.0 0.1 5.6 2 L1_NGC-SA:L5_UTPC gauss
7.90 8.0 4.0 14.0 0.1 1.3 1 L1_NGC-SA:L6_UTPC exp
15.90 15.4 7.0 19.0 -0.5 -3.0 1 L1_SLAC:L1_DAC exp
5.00 4.1 2.0 7.0 -0.9 -17.1 1 L1_SLAC:L1_DLAC exp
17.00 18.7 14.0 29.0 1.7 10.1 2 L1_SLAC:L1_HAC gauss
10.60 10.1 7.0 15.0 -0.5 -4.3 1 L1_SLAC:L1_NGC-DA exp
8.70 8.4 5.0 13.0 -0.3 -3.1 1 L1_SLAC:L1_NGC-SA exp
7.10 8.4 4.0 13.0 1.3 18.7 1 L1_SLAC:L1_SLAC exp
13.70 13.3 10.0 19.0 -0.4 -3.0 2 L1_SLAC:L23_BTC gauss
7.40 7.6 4.0 13.0 0.2 2.3 2 L1_SLAC:L23_ChC gauss
8.90 8.7 4.0 13.0 -0.2 -2.1 1 L1_SLAC:L23_DBC exp
36.70 37.0 29.0 44.0 0.3 0.8 2 L1_SLAC:L23_LBC gauss
70.30 70.9 62.0 82.0 0.6 0.8 2 L1_SLAC:L23_MC gauss
26.30 24.9 21.0 32.0 -1.4 -5.5 2 L1_SLAC:L23_NBC gauss
4.00 3.6 1.0 7.0 -0.4 -10.7 1 L1_SLAC:L23_NGC exp
1076.90 1067.7 1002.0 1162.0 -9.2 -0.9 2 L1_SLAC:L23_PC gauss
14.90 13.1 7.0 16.0 -1.8 -11.8 1 L1_SLAC:L23_SBC exp
205.90 204.6 183.0 220.0 -1.3 -0.6 2 L1_SLAC:L4_PC gauss
30.00 32.7 28.0 39.0 2.7 9.0 2 L1_SLAC:L4_SP gauss
41.00 47.3 35.0 63.0 6.3 15.3 2 L1_SLAC:L5_STPC gauss
605.00 596.0 547.0 632.0 -9.0 -1.5 2 L1_SLAC:L5_TTPC1 gauss
547.10 541.0 485.0 575.0 -6.1 -1.1 2 L1_SLAC:L5_TTPC2 gauss
8.70 9.1 7.0 14.0 0.4 5.1 2 L1_SLAC:L6_UTPC gauss
1.10 1.1 0.0 2.0 0.0 3.9 2 L23_BP:L23_BTC gauss
6.00 6.4 3.0 11.0 0.4 7.1 1 L23_BP:L23_LBC exp
4.10 3.6 1.0 7.0 -0.5 -12.9 2 L23_BP:L23_MC gauss
4.10 3.1 0.0 7.0 -1.0 -23.3 2 L23_BP:L23_NBC gauss
97.30 104.3 81.0 122.0 7.0 7.2 2 L23_BP:L23_PC gauss
5.10 5.1 3.0 7.0 0.0 0.8 1 L23_BP:L4_LBC exp
6.10 6.1 2.0 11.0 0.0 0.7 1 L23_BP:L4_MC exp
156.10 151.7 139.0 173.0 -4.4 -2.8 2 L23_BP:L4_PC gauss
50.90 50.3 42.0 57.0 -0.6 -1.2 2 L23_BP:L4_SP gauss
30.60 32.4 25.0 41.0 1.8 6.0 1 L23_BP:L4_SS exp
6.00 6.4 4.0 9.0 0.4 7.1 1 L23_BP:L5_LBC exp
7.90 8.1 3.0 13.0 0.2 3.1 2 L23_BP:L5_MC gauss
5.70 5.4 2.0 12.0 -0.3 -4.8 1 L23_BP:L5_NBC exp
20.40 22.1 18.0 31.0 1.7 8.5 2 L23_BP:L5_STPC gauss
134.70 142.6 107.0 155.0 7.9 5.8 2 L23_BP:L5_TTPC1 gauss
105.70 112.4 100.0 122.0 6.7 6.4 2 L23_BP:L5_TTPC2 gauss
17.10 16.9 12.0 23.0 -0.2 -1.4 2 L23_BP:L5_UTPC gauss
32.90 30.6 23.0 40.0 -2.3 -7.1 2 L23_BP:L6_BPC gauss
3.10 3.7 0.0 6.0 0.6 19.8 2 L23_BP:L6_IPC gauss
21.40 22.3 16.0 27.0 0.9 4.1 2 L23_BP:L6_TPC_L1 gauss
19.40 21.0 14.0 26.0 1.6 8.2 2 L23_BP:L6_TPC_L4 gauss
21.40 22.4 21.0 24.0 1.0 4.8 2 L23_BP:L6_UTPC gauss
26.60 28.6 24.0 32.0 2.0 7.4 2 L23_BTC:L1_DAC gauss
9.60 9.9 7.0 15.0 0.3 2.7 2 L23_BTC:L1_DLAC gauss
22.40 27.1 20.0 32.0 4.7 21.2 2 L23_BTC:L1_HAC gauss
17.30 19.7 11.0 28.0 2.4 14.0 2 L23_BTC:L1_NGC-DA gauss
11.60 12.9 11.0 15.0 1.3 10.8 2 L23_BTC:L1_NGC-SA gauss
